Date,Close
9/21/20 0:00,10462.25977
9/22/20 0:00,10538.45996
9/23/20 0:00,10246.18652
9/24/20 0:00,10760.06641
9/25/20 0:00,10692.7168
9/26/20 0:00,10750.72363
9/27/20 0:00,10775.26953
9/28/20 0:00,10709.65234
9/29/20 0:00,10844.64063
9/30/20 0:00,10784.49121
10/1/20 0:00,10619.45215
10/2/20 0:00,10575.97461
10/3/20 0:00,10549.3291
10/4/20 0:00,10669.58301
10/5/20 0:00,10793.33984
10/6/20 0:00,10604.40625
10/7/20 0:00,10668.96875
10/8/20 0:00,10915.68555
10/9/20 0:00,11064.45801
10/10/20 0:00,11296.36133
10/11/20 0:00,11384.18164
10/12/20 0:00,11555.36328
10/13/20 0:00,11425.89941
10/14/20 0:00,11429.50684
10/15/20 0:00,11495.34961
10/16/20 0:00,11322.12305
10/17/20 0:00,11358.10156
10/18/20 0:00,11483.35938
10/19/20 0:00,11742.03711
10/20/20 0:00,11916.33496
10/21/20 0:00,12823.68945
10/22/20 0:00,12965.8916
10/23/20 0:00,12931.53906
10/24/20 0:00,13108.0625
10/25/20 0:00,13031.17383
10/26/20 0:00,13075.24805
10/27/20 0:00,13654.21875
10/28/20 0:00,13271.28516
10/29/20 0:00,13437.88281
10/30/20 0:00,13546.52246
10/31/20 0:00,13780.99512
11/1/20 0:00,13737.10938
11/2/20 0:00,13550.48926
11/3/20 0:00,13950.30078
11/4/20 0:00,14133.70703
11/5/20 0:00,15579.84863
11/6/20 0:00,15565.88086
11/7/20 0:00,14833.75391
11/8/20 0:00,15479.56738
11/9/20 0:00,15332.31543
11/10/20 0:00,15290.90234
11/11/20 0:00,15701.33984
11/12/20 0:00,16276.34375
11/13/20 0:00,16317.80859
11/14/20 0:00,16068.13867
11/15/20 0:00,15955.58789
11/16/20 0:00,16716.11133
11/17/20 0:00,17645.40625
11/18/20 0:00,17804.00586
11/19/20 0:00,17817.08984
11/20/20 0:00,18621.31445
11/21/20 0:00,18642.23242
11/22/20 0:00,18370.00195
11/23/20 0:00,18364.12109
11/24/20 0:00,19107.46484
11/25/20 0:00,18732.12109
11/26/20 0:00,17150.62305
11/27/20 0:00,17108.40234
11/28/20 0:00,17717.41406
11/29/20 0:00,18177.48438
11/30/20 0:00,19625.83594
12/1/20 0:00,18802.99805
12/2/20 0:00,19201.0918
12/3/20 0:00,19445.39844
12/4/20 0:00,18699.76563
12/5/20 0:00,19154.23047
12/6/20 0:00,19345.12109
12/7/20 0:00,19191.63086
12/8/20 0:00,18321.14453
12/9/20 0:00,18553.91602
12/10/20 0:00,18264.99219
12/11/20 0:00,18058.9043
12/12/20 0:00,18803.65625
12/13/20 0:00,19142.38281
12/14/20 0:00,19246.64453
12/15/20 0:00,19417.07617
12/16/20 0:00,21310.59766
12/17/20 0:00,22805.16211
12/18/20 0:00,23137.96094
12/19/20 0:00,23869.83203
12/20/20 0:00,23477.29492
12/21/20 0:00,22803.08203
12/22/20 0:00,23783.0293
12/23/20 0:00,23241.3457
12/24/20 0:00,23735.94922
12/25/20 0:00,24664.79102
12/26/20 0:00,26437.03711
12/27/20 0:00,26272.29492
12/28/20 0:00,27084.80859
12/29/20 0:00,27362.4375
12/30/20 0:00,28840.95313
12/31/20 0:00,29001.7207
1/1/21 0:00,29374.15234
1/2/21 0:00,32127.26758
1/3/21 0:00,32782.02344
1/4/21 0:00,31971.91406
1/5/21 0:00,33992.42969
1/6/21 0:00,36824.36328
1/7/21 0:00,39371.04297
1/8/21 0:00,40797.60938
1/9/21 0:00,40254.54688
1/10/21 0:00,38356.44141
1/11/21 0:00,35566.65625
1/12/21 0:00,33922.96094
1/13/21 0:00,37316.35938
1/14/21 0:00,39187.32813
1/15/21 0:00,36825.36719
1/16/21 0:00,36178.14063
1/17/21 0:00,35791.27734
1/18/21 0:00,36630.07422
1/19/21 0:00,36069.80469
1/20/21 0:00,35547.75
1/21/21 0:00,30825.69922
1/22/21 0:00,33005.76172
1/23/21 0:00,32067.64258
1/24/21 0:00,32289.37891
1/25/21 0:00,32366.39258
1/26/21 0:00,32569.84961
1/27/21 0:00,30432.54688
1/28/21 0:00,33466.09766
1/29/21 0:00,34316.38672
1/30/21 0:00,34269.52344
1/31/21 0:00,33114.35938
2/1/21 0:00,33537.17578
2/2/21 0:00,35510.28906
2/3/21 0:00,37472.08984
2/4/21 0:00,36926.06641
2/5/21 0:00,38144.30859
2/6/21 0:00,39266.01172
2/7/21 0:00,38903.44141
2/8/21 0:00,46196.46484
