Date,Price
22-Sep,3195
23-Sep,3195
24-Sep,3195
25-Sep,3195
26-Sep,3195
27-Sep,2999
28-Sep,2999
29-Sep,2999
30-Sep,2999
1-Oct,2999
2-Oct,2882
3-Oct,2957
4-Oct,2957
5-Oct,2924
6-Oct,2899
7-Oct,2924
8-Oct,2924
9-Oct,2999
10-Oct,2999
11-Oct,2999
12-Oct,2999
13-Oct,2999
14-Oct,2899
15-Oct,2899
16-Oct,3000
17-Oct,3000
18-Oct,3000
19-Oct,2699
20-Oct,2699
21-Oct,2999
22-Oct,3100
23-Oct,3150
24-Oct,3150
25-Oct,3150
26-Oct,3150
27-Oct,3150
28-Oct,3150
29-Oct,3150
30-Oct,3150
31-Oct,3150
1-Nov,3150
2-Nov,3150
3-Nov,3150
4-Nov,3387
5-Nov,3099
6-Nov,3379
7-Nov,3385
8-Nov,3385
9-Nov,3200
10-Nov,3379
11-Nov,3200
12-Nov,3197
13-Nov,3197
14-Nov,3197
15-Nov,3197
16-Nov,3197
17-Nov,3197
18-Nov,3399
19-Nov,3373
20-Nov,3373
21-Nov,3341
22-Nov,3199
23-Nov,3480
24-Nov,3229
25-Nov,3150
26-Nov,3199
27-Nov,3199
28-Nov,3480
29-Nov,3199
30-Nov,3199
1-Dec,3199
2-Dec,3199
3-Dec,3458
4-Dec,3295
5-Dec,3295
6-Dec,3295
7-Dec,3294
8-Dec,3265
9-Dec,3199
10-Dec,3244
11-Dec,3199
12-Dec,3199
13-Dec,3199
14-Dec,3199
15-Dec,3199
16-Dec,3100
17-Dec,3160
18-Dec,3099
19-Dec,3075
20-Dec,2999
21-Dec,2989
22-Dec,3075
23-Dec,3075
24-Dec,3075
25-Dec,3075
26-Dec,3075
27-Dec,2975
28-Dec,2975
29-Dec,2975
30-Dec,2975
31-Dec,2975
1-Jan,2944
2-Jan,2930
3-Jan,2916
4-Jan,2910
5-Jan,2809
6-Jan,2809
7-Jan,2809
8-Jan,2809
9-Jan,2809
10-Jan,2750
11-Jan,2700
12-Jan,2690
13-Jan,2640
14-Jan,2683
15-Jan,2699
16-Jan,2605
17-Jan,2605
18-Jan,2699
19-Jan,2732
20-Jan,2625
21-Jan,2574
22-Jan,2566
23-Jan,2566
24-Jan,2559
25-Jan,2548
26-Jan,2539
27-Jan,2540
28-Jan,2548
29-Jan,2500
30-Jan,2500
31-Jan,2490
1-Feb,2477
2-Feb,2488
3-Feb,2399
4-Feb,2545
5-Feb,2399
6-Feb,2449
7-Feb,2539
8-Feb,2539
9-Feb,2530
10-Feb,2527
11-Feb,2510
12-Feb,2500
13-Feb,2500
14-Feb,2500
15-Feb,2500
16-Feb,2500
17-Feb,2500
18-Feb,2455
19-Feb,2418
20-Feb,2390
21-Feb,2381
22-Feb,2330
23-Feb,2308
24-Feb,2240
25-Feb,2230
26-Feb,2197
27-Feb,2149
28-Feb,2100
1-Mar,2090
